ID    Filename             Word Count   Keyword Count   Processed At            Source      
109   pom.xml              57           0               2025-08-25 10:12:28.0   log-analysis
110   log_1.txt            11           0               2025-08-25 10:12:38.0   log-analysis
111   log_10.txt           11           0               2025-08-25 10:12:38.0   log-analysis
112   log_11.txt           11           0               2025-08-25 10:12:38.0   log-analysis
113   log_12.txt           11           0               2025-08-25 10:12:38.0   log-analysis
114   log_13.txt           11           0               2025-08-25 10:12:38.0   log-analysis
115   log_14.txt           11           0               2025-08-25 10:12:38.0   log-analysis
116   log_15.txt           11           0               2025-08-25 10:12:38.0   log-analysis
117   log_16.txt           11           0               2025-08-25 10:12:38.0   log-analysis
118   log_17.txt           11           0               2025-08-25 10:12:38.0   log-analysis
119   log_18.txt           11           0               2025-08-25 10:12:38.0   log-analysis
120   log_19.txt           11           0               2025-08-25 10:12:38.0   log-analysis
121   log_2.txt            11           0               2025-08-25 10:12:38.0   log-analysis
122   log_20.txt           11           0               2025-08-25 10:12:38.0   log-analysis
123   log_21.txt           11           0               2025-08-25 10:12:38.0   log-analysis
124   log_22.txt           11           0               2025-08-25 10:12:38.0   log-analysis
125   log_23.txt           11           0               2025-08-25 10:12:38.0   log-analysis
126   log_24.txt           11           0               2025-08-25 10:12:38.0   log-analysis
127   log_25.txt           11           0               2025-08-25 10:12:38.0   log-analysis
128   log_26.txt           11           0               2025-08-25 10:12:38.0   log-analysis
129   log_27.txt           11           0               2025-08-25 10:12:38.0   log-analysis
130   log_28.txt           11           0               2025-08-25 10:12:38.0   log-analysis
131   log_29.txt           11           0               2025-08-25 10:12:38.0   log-analysis
132   log_3.txt            11           0               2025-08-25 10:12:38.0   log-analysis
133   log_30.txt           11           0               2025-08-25 10:12:38.0   log-analysis
134   log_31.txt           11           0               2025-08-25 10:12:38.0   log-analysis
135   log_32.txt           11           0               2025-08-25 10:12:38.0   log-analysis
136   log_33.txt           11           0               2025-08-25 10:12:38.0   log-analysis
137   log_34.txt           11           0               2025-08-25 10:12:38.0   log-analysis
138   log_35.txt           11           0               2025-08-25 10:12:38.0   log-analysis
139   log_36.txt           11           0               2025-08-25 10:12:38.0   log-analysis
